0	6.3024623140710453244e-17	0
1	2.1598629560424792273e-23	7.6306081659070125398e-17
2	4.1971231430812430222e-17	4.9646626489401141342e-17
3	5.5152267861261401586e-17	4.5648752039899430997e-17
4	8.1969356630046325325e-18	6.498295674454686877e-17
5	6.4270412069911401805e-17	-3.2718182779116673513e-18
6	-7.1205639403740037997e-17	-1.5816883245931138909e-18
7	3.0373690974975019598e-18	-6.3337360804290856192e-17
8	-5.5580323021265221282e-17	-4.1871033096615233371e-17
9	-4.6701795308220796178e-17	-5.1092081677489385011e-17
10	1.4901793825647147725e-17	-6.3647890087707053417e-17
11	-7.4032704809148290815e-17	3.2533828713631883322e-19
12	5.2869627423073318922e-17	-7.7769704969574814152e-18
13	1.6453085414327572976e-18	6.2278659930783525321e-17
14	9.430418091536726049e-17	6.5575828444624372281e-17
15	4.6861938950650118688e-17	7.8051427931824304006e-17
16	3.5477450252003991143e-17	6.5821322103942323244e-17
17	8.0892892646053803509e-17	2.5947873411225063742e-17
18	-3.3368767173186193313e-17	1.76501979002283699e-17
19	4.3124593861251127975e-17	-1.1441938721401519498e-17
20	-7.3604278218651887109e-17	-5.8955889168802040326e-17
21	-5.356324973874206446e-17	-1.0847057564746447617e-16
22	-6.8570049221807885158e-17	-9.7666633129409024675e-17
23	-7.7767487108976835641e-17	-4.6234218055008112712e-17
24	-8.4242980675788191312e-17	-8.2922166513448805267e-17
25	-9.4423628070860021486e-17	-8.7306499797819778616e-17
26	-3.128364330033649922e-17	-9.2302695924717580166e-17
27	-6.7387477575933958123e-17	-4.6037238464220477921e-17
28	-1.7596011201709299314e-17	-4.203928498804922623e-17
29	-2.591680112235760668e-17	-1.0590475302927577183e-17
30	-1.0376917646557278899e-17	-8.5129219081551500467e-18
31	-8.3014063769877023688e-18	-1.4365919240324212888e-17
32	7.4786879711194338357e-18	-2.1873116084411515208e-17
33	-1.8786264066905634335e-17	6.4267172331684202912e-18
34	-7.5514552911138446812e-14	-5.2065844810762699981e-17
35	6.8214345431304840737e-17	-7.5514249385571390144e-14
36	-1.6339744696211345787e-07	-2.0459241049471405105e-11
37	2.0299050723085032493e-11	-1.6339744713053743616e-07
38	-0.3535533878217842485	-4.4268939528313597882e-05
39	4.3922321199934092619e-05	-0.35355338786501472326
40	6.2278939778863916243e-05	-0.49999999612127976611
41	-0.49999999610090073432	-6.2442337225827309753e-05
42	-0.3535533878217842485	-4.4268939528459240115e-05
43	4.3922321200035784007e-05	-0.35355338786501427917
44	-1.6339744701701712766e-07	-2.0459242478527782522e-11
45	2.0299025270194394761e-11	-1.6339744701004101724e-07
46	-7.5524187368903658404e-14	7.4784962202541381257e-20
47	-1.4882638872166757004e-19	-7.5524187367872206993e-14
48	-3.490361998507112292e-20	3.6047636370458892732e-25
49	-3.9470460735793847786e-25	-3.4903619986125268638e-20
50	-1.6134256434051870474e-26	-3.369871172402442759e-31
51	3.2117513563209535178e-31	-1.6134256433084443789e-26
52	-7.4545227227810670439e-33	3.0035614726504454724e-37
53	-3.0766706284801902536e-37	-7.454522721760531752e-33
54	-3.4460904011281968995e-39	3.9424924106887434449e-43
55	-3.9762754659427470257e-43	-3.4460904006781446928e-39
56	-1.5925690490009455543e-45	2.0408284237662220308e-49
57	-2.0564390951995031985e-49	-1.5925690490013264028e-45
58	-7.3591512652966769671e-52	2.3112952596165242228e-56
59	-2.3834256560538210899e-56	-7.3591512660391354091e-52
60	-3.4001724065873771522e-58	-2.387371076110328048e-62
61	2.3540766564433398741e-62	-3.4001724067408327089e-58
62	-1.5694107283036696814e-64	-8.4467621701371240278e-69
63	8.2934383294944859143e-69	-1.5694107284930692916e-64
64	-7.2255650017560578655e-71	-7.8534424744859679214e-75
65	7.7832391882176344957e-75	-7.2255650025696816224e-71
66	-3.3068136397908002804e-77	-3.8881869494569228207e-81
67	3.8563802924910555495e-81	-3.3068136403709473581e-77
68	-1.4966809648454095368e-83	-2.5610359624847022065e-87
69	2.5468712103868613859e-87	-1.4966809651184286257e-83
70	-6.6536924255069535686e-90	-1.2984934488391580388e-93
71	1.2923406628582497438e-93	-6.6536924268944887421e-90
72	-2.8826731963513701953e-96	-6.6085854939469988809e-100
73	6.5827000406811220144e-100	-2.8826731970373071505e-96
74	-1.2082243128724025495e-102	-3.2653201718781993797e-106
75	3.2548425908098174265e-106	-1.2082243131908442584e-102
76	-4.8665167811612417164e-109	-1.5108477242316593461e-112
77	1.5067897437767813856e-112	-4.866516782542284008e-109
78	-1.873385720529043584e-115	-6.4740454767053720536e-119
79	6.4679230502388947824e-119	-1.8733857207416169123e-115


