Eigenvalue 0 = -3.81994
Eigenvector 0 =
Eigenvector 14 =
 0 0 -0.00174081
0 1 0.201199
0 2 0.327002
0 3 0.307649
0 4 0.327002
0 5 0.201199
1 1 -0.000809969
1 2 0.201199
1 3 0.225365
1 4 0.307649
1 5 0.225365
2 2 -0.00174081
2 3 0.201199
2 4 0.327002
2 5 0.307649
3 3 -0.000809969
3 4 0.201199
3 5 0.225365
4 4 -0.00174081
4 5 0.201199
5 5 -0.000809969


Eigenvalue 15 = 1000
Eigenvector 15 =
 0 0 -0.303235
0 1 0.000375299
0 2 -0.000858336
0 4 -0.000858336
0 5 0.000375299
1 1 0.491305
1 2 0.000375299
2 2 -0.303235
2 3 0.000375299
2 4 -0.000858336
3 3 0.491305
3 4 0.000375299
4 4 -0.303235
4 5 0.000375299
5 5 0.491305


Eigenvalue 16 = 1000
Eigenvector 16 =
 0 1 -0.00111345
0 2 0.000613435
0 4 -0.000613435
0 5 0.00111345
1 1 -0.557037
1 2 -0.000243211
2 2 0.435554
2 3 0.000870235
3 4 -0.000870235
4 4 -0.435554
4 5 0.000243211
5 5 0.557037


Eigenvalue 17 = 1000
Eigenvector 17 =
 0 0 -0.502935
0 1 -0.000362012
0 2 -0.000354167
0 4 -0.000354167
0 5 -0.000362012
1 1 0.321605
1 2 0.00114528
2 2 0.251467
2 3 -0.000783267
2 4 0.000708333
3 3 -0.643211
3 4 -0.000783267
4 4 0.251467
4 5 0.00114528
5 5 0.321605


Eigenvalue 18 = 1000.01
Eigenvector 18 =
 0 1 -0.000874201
0 2 -0.000791009
0 4 0.000791009
0 5 0.000874201
1 1 -0.435552
1 2 -0.00198715
2 2 -0.557035
2 3 -0.00111295
3 4 0.00111295
4 4 0.557035
4 5 0.00198715
5 5 0.435552


Eigenvalue 19 = 1000.01
Eigenvector 19 =
 0 0 0.643208
0 1 0.00178984
0 2 0.000456689
0 4 0.000456689
0 5 0.00178984
1 1 0.251466
1 2 -0.000137841
2 2 -0.321604
2 3 -0.001652
2 4 -0.000913378
3 3 -0.502933
3 4 -0.001652
4 4 -0.321604
4 5 -0.000137841
5 5 0.251466
